,tmdb_id,imdb_id,film,year,budget,revenue,oscar_cat,oscar_win,oscar_nominations,oscar_win_count,total_wins,total_nominations,cast_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes,metascore,director,genre_id_0,genre_id_1,cast_0,cast_1,cast_2,cast_3,producer_0,producer_1,screenplay_0
1105,489,tt0119217,Good Will Hunting,1997,10000000.0,225933435.0,Best Actor,False,9,2,22,61,110.60499999999986,103.05099999999986,81,8442,83,868469,98.0,70.0,Gus Van Sant,18,,Matt Damon,Robin Williams,Ben Affleck,Stellan Skarsgård,Lawrence Bender,,
1106,2895,tt0118632,The Apostle,1997,5000000.0,19868354.0,Best Actor,False,1,0,13,7,41.04600000000001,11.411,65,100,72,13490,90.0,83.0,Robert Duvall,18,,Robert Duvall,Billy Bob Thornton,June Carter Cash,Farrah Fawcett,,,
1107,55306,tt0120402,Ulee's Gold,1997,17323630.07,91033070.26,Best Actor,False,1,0,8,16,22.963,16.266,64,43,70,6768,94.0,77.0,Victor Nunez,18,,Peter Fonda,Patricia Richardson,Christine Dunford,Tom Wood,,,
1108,586,tt0120885,Wag the Dog,1997,15000000.0,64256513.0,Best Actor,False,2,0,2,21,82.25899999999999,53.543000000000006,70,622,72,79333,85.0,73.0,Barry Levinson,35,18,Dustin Hoffman,Robert De Niro,Anne Heche,Woody Harrelson,Robert De Niro,Jane Rosenthal,David Mamet
1109,2898,tt0119822,As Good as It Gets,1997,50000000.0,314178011.0,Best Actor,True,7,2,36,54,116.98799999999987,46.08800000000002,74,2592,77,277473,85.0,67.0,James L. Brooks,35,10749,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,James L. Brooks,,James L. Brooks
1110,45609,tt0120520,The Wings of the Dove,1997,11092163.186666667,65290865.15,Best Actress,False,4,0,16,28,40.88000000000001,29.05800000000001,69,77,71,10402,84.0,73.0,Iain Softley,18,10749,Helena Bonham Carter,Linus Roache,Alison Elliott,Elizabeth McGovern,David Parfitt,Stephen Evans,Hossein Amini
1111,26941,tt0118566,Afterglow,1997,11092163.186666667,2465960.0,Best Actress,False,1,0,8,3,23.488000000000003,15.901999999999996,68,10,61,3286,76.0,68.0,Alan Rudolph,18,10749,Nick Nolte,Julie Christie,Lara Flynn Boyle,Jonny Lee Miller,Robert Altman,,
1112,17589,tt0119280,Mrs. Brown,1997,11092163.186666667,65290865.15,Best Actress,False,2,0,12,24,49.286000000000016,22.245000000000008,68,118,72,13555,92.0,71.0,John Madden,18,36,Judi Dench,Billy Connolly,Geoffrey Palmer,Antony Sher,Sarah Curtis,,
1113,2898,tt0119822,As Good as It Gets,1997,50000000.0,314178011.0,Best Actress,True,7,2,36,54,116.98799999999987,46.08800000000002,74,2592,77,277473,85.0,67.0,James L. Brooks,35,10749,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,James L. Brooks,,James L. Brooks
1114,597,tt0120338,Titanic,1997,200000000.0,2187463944.0,Best Actress,False,14,11,112,83,195.2329999999997,130.54799999999977,79,18965,78,1054555,89.0,75.0,James Cameron,18,10749,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,James Cameron,Jon Landau,James Cameron
1115,9427,tt0119164,The Full Monty,1997,3500000.0,257850122.0,Best Director,False,4,1,36,35,34.24900000000002,11.721999999999998,70,1115,72,99360,96.0,75.0,Peter Cattaneo,35,,Robert Carlyle,Mark Addy,William Snape,Steve Huison,Uberto Pasolini,,
1116,489,tt0119217,Good Will Hunting,1997,10000000.0,225933435.0,Best Director,False,9,2,22,61,110.60499999999986,103.05099999999986,81,8442,83,868469,98.0,70.0,Gus Van Sant,18,,Matt Damon,Robin Williams,Ben Affleck,Stellan Skarsgård,Lawrence Bender,,
1117,2118,tt0119488,L.A. Confidential,1997,35000000.0,126216940.0,Best Director,False,9,2,89,85,177.83999999999978,116.6119999999997,78,3278,82,535576,99.0,90.0,Curtis Hanson,80,53,Kevin Spacey,Russell Crowe,Guy Pearce,James Cromwell,Curtis Hanson,Arnon Milchan,Curtis Hanson
1118,10217,tt0120255,The Sweet Hereafter,1997,5000000.0,7951247.0,Best Director,False,2,0,33,54,44.21700000000001,21.64000000000001,70,250,75,32210,98.0,91.0,Atom Egoyan,18,,Ian Holm,Sarah Polley,Tom McCamus,Gabrielle Rose,Atom Egoyan,Camelia Frieberg,Atom Egoyan
1119,597,tt0120338,Titanic,1997,200000000.0,2187463944.0,Best Director,True,14,11,112,83,195.2329999999997,130.54799999999977,79,18965,78,1054555,89.0,75.0,James Cameron,18,10749,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,James Cameron,Jon Landau,James Cameron
1120,2898,tt0119822,As Good as It Gets,1997,50000000.0,314178011.0,Best Picture,False,7,2,36,54,116.98799999999987,46.08800000000002,74,2592,77,277473,85.0,67.0,James L. Brooks,35,10749,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,James L. Brooks,,James L. Brooks
