,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
1680,281957,tt1663202,2015,2016,The Revenant,Best Director,Alejandro G. Iñárritu,True,3.0,12,"['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson', 'Will Poulter']",141.80399999999975,Alejandro González Iñárritu,"['Steve Golin', 'Alejandro González Iñárritu', 'Arnon Milchan', 'James W. Skotchdopole', 'Keith Redmon', 'Mary Parent']","['Alejandro González Iñárritu', 'Mark L. Smith']",180.0619999999993,135000000.0,532950503.0,157,75,14458,80,713543,78.0,76.0,87,187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1681,264644,tt3170832,2015,2016,Room,Best Director,Lenny Abrahamson,False,1.0,4,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'William H. Macy']",83.53999999999998,Lenny Abrahamson,"['Ed Guiney', 'David Gross']",['Emma Donoghue'],31.75200000000001,13000000.0,35401758.0,118,81,7280,81,376634,93.0,86.0,104,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1682,314365,tt1895587,2015,2016,Spotlight,Best Director,Tom McCarthy,False,2.0,6,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",153.73199999999986,Tom McCarthy,"['Steve Golin', 'Michael Sugar', 'Nicole Rocklin', 'Blye Pagon Faust']",[],85.13599999999988,20000000.0,98690254.0,129,78,6535,81,425571,97.0,93.0,122,143,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1683,318846,tt1596363,2015,2016,The Big Short,Best Picture,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers",False,1.0,5,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",247.9299999999998,Adam McKay,"['Brad Pitt', 'Arnon Milchan', 'Dede Gardner', 'Jeremy Kleiner']","['Adam McKay', 'Charles Randolph']",173.05899999999932,28000000.0,133346506.0,131,73,6602,78,373271,88.0,81.0,36,81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1684,296098,tt3682448,2015,2016,Bridge of Spies,Best Picture,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers",False,1.0,6,"['Tom Hanks', 'Mark Rylance', 'Amy Ryan', 'Alan Alda']",150.68300000000005,Steven Spielberg,"['Steven Spielberg', 'Marc Platt', 'Kristie Macosko']",[],244.36399999999898,40000000.0,165478348.0,141,72,5470,76,291154,90.0,81.0,29,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1685,167073,tt2381111,2015,2016,Brooklyn,Best Picture,"Finola Dwyer and Amanda Posey, Producers",False,0.0,3,"['Saoirse Ronan', 'Domhnall Gleeson', 'Emory Cohen', 'Jim Broadbent']",97.34399999999997,John Crowley,"['Amanda Posey', 'Finola Dwyer']",['Nick Hornby'],62.957000000000065,11000000.0,62076141.0,111,73,2504,75,132479,97.0,88.0,38,157,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1686,76341,tt1392190,2015,2016,Mad Max: Fury Road,Best Picture,"Doug Mitchell and George Miller, Producers",False,6.0,10,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne']",148.51699999999985,George Miller,"['George Miller', 'Doug Mitchell', 'P.J. Voeten']",[],109.57999999999979,150000000.0,378858340.0,121,75,17896,81,895036,97.0,90.0,239,231,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1687,286217,tt3659388,2015,2016,The Martian,Best Picture,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers",False,0.0,7,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels']",205.99399999999986,Ridley Scott,"['Ridley Scott', 'Mark Huffam', 'Simon Kinberg', 'Michael Schaefer']",['Drew Goddard'],507.31400000000707,108000000.0,630161890.0,144,77,15542,80,771051,91.0,80.0,38,192,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1688,281957,tt1663202,2015,2016,The Revenant,Best Picture,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",False,3.0,12,"['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson', 'Will Poulter']",141.80399999999975,Alejandro González Iñárritu,"['Steve Golin', 'Alejandro González Iñárritu', 'Arnon Milchan', 'James W. Skotchdopole', 'Keith Redmon', 'Mary Parent']","['Alejandro González Iñárritu', 'Mark L. Smith']",180.0619999999993,135000000.0,532950503.0,157,75,14458,80,713543,78.0,76.0,87,187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1689,264644,tt3170832,2015,2016,Room,Best Picture,"Ed Guiney, Producer",False,1.0,4,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'William H. Macy']",83.53999999999998,Lenny Abrahamson,"['Ed Guiney', 'David Gross']",['Emma Donoghue'],31.75200000000001,13000000.0,35401758.0,118,81,7280,81,376634,93.0,86.0,104,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
