,year_film,nominee,oscar_category,index,oscar_win,film,movie_id,genre_id,vote_average,budget,revenue,release_date,runtime
284,1996,Marianne Jean-Baptiste,Best Supporting Actress,7572,False,Secrets & Lies,11159,[18],7.5,4500000.0,13417292.0,1996-05-24,142.0
285,1996,John Seale,Best Cinematography,7578,True,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
286,1996,Darius Khondji,Best Cinematography,7579,False,Evita,8818,"[36, 18, 10402]",6.2,55000000.0,141047179.0,1996-12-14,134.0
287,1996,Roger Deakins,Best Cinematography,7580,False,Fargo,275,"[80, 18, 53]",7.9,7000000.0,60611975.0,1996-03-08,98.0
288,1996,Caleb Deschanel,Best Cinematography,7581,False,Fly Away Home,11076,"[28, 12, 18, 10751]",6.8,0.0,0.0,1996-09-13,107.0
289,1996,Chris Menges,Best Cinematography,7582,False,Michael Collins,1770,"[18, 53, 36]",6.9,25000000.0,16900000.0,1996-10-25,132.0
290,1996,Anthony Minghella,Best Director,7588,True,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
291,1996,Joel Coen,Best Director,7589,False,Fargo,275,"[80, 18, 53]",7.9,7000000.0,60611975.0,1996-03-08,98.0
292,1996,Milos Forman,Best Director,7590,False,The People vs. Larry Flynt,1630,[18],7.0,36000000.0,20300385.0,1996-12-25,130.0
293,1996,Mike Leigh,Best Director,7591,False,Secrets & Lies,11159,[18],7.5,4500000.0,13417292.0,1996-05-24,142.0
294,1996,Scott Hicks,Best Director,7592,False,Shine,7863,[18],7.4,5500000.0,35892330.0,1996-08-15,105.0
295,1996,Walter Murch,Best Film Editing,7603,True,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
296,1996,Gerry Hambling,Best Film Editing,7604,False,Evita,8818,"[36, 18, 10402]",6.2,55000000.0,141047179.0,1996-12-14,134.0
297,1996,Roderick Jaynes,Best Film Editing,7605,False,Fargo,275,"[80, 18, 53]",7.9,7000000.0,60611975.0,1996-03-08,98.0
298,1996,Joe Hutshing,Best Film Editing,7606,False,Jerry Maguire,9390,"[35, 18, 10749]",6.9,50000000.0,273552592.0,1996-12-13,138.0
299,1996,Pip Karmel,Best Film Editing,7607,False,Shine,7863,[18],7.4,5500000.0,35892330.0,1996-08-15,105.0
300,1996,"Saul Zaentz, Producer",Best Pictre,7631,True,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
301,1996,"Ethan Coen, Producer",Best Pictre,7632,False,Fargo,275,"[80, 18, 53]",7.9,7000000.0,60611975.0,1996-03-08,98.0
302,1996,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",Best Pictre,7633,False,Jerry Maguire,9390,"[35, 18, 10749]",6.9,50000000.0,273552592.0,1996-12-13,138.0
303,1996,"Simon Channing-Williams, Producer",Best Pictre,7634,False,Secrets & Lies,11159,[18],7.5,4500000.0,13417292.0,1996-05-24,142.0
304,1996,"Jane Scott, Producer",Best Pictre,7635,False,Shine,7863,[18],7.4,5500000.0,35892330.0,1996-08-15,105.0
305,1997,Matt Damon,Best Actor,7668,False,Good Will Hunting,489,[18],8.1,10000000.0,225933435.0,1997-12-05,127.0
306,1997,Robert Duvall,Best Actor,7669,False,The Apostle,2895,[18],6.4,5000000.0,19868354.0,1997-12-19,134.0
307,1997,Peter Fonda,Best Actor,7670,False,Ulee's Gold,55306,[18],6.3,0.0,0.0,1997-06-13,112.0
308,1997,Dustin Hoffman,Best Actor,7671,False,Wag the Dog,586,"[35, 18]",7.0,15000000.0,64256513.0,1997-12-25,97.0
309,1997,Jack Nicholson,Best Actor,7672,True,As Good as It Gets,2898,"[35, 10749]",7.4,50000000.0,314178011.0,1997-12-19,139.0
310,1997,Robert Forster,Best Supporting Actor,7673,False,Jackie Brown,184,"[80, 53, 18]",7.3,12000000.0,39673162.0,1997-04-10,154.0
311,1997,Anthony Hopkins,Best Supporting Actor,7674,False,Amistad,11831,"[18, 36, 9648]",7.0,36000000.0,74000000.0,1997-12-03,155.0
312,1997,Greg Kinnear,Best Supporting Actor,7675,False,As Good as It Gets,2898,"[35, 10749]",7.4,50000000.0,314178011.0,1997-12-19,139.0
313,1997,Burt Reynolds,Best Supporting Actor,7676,False,Boogie Nights,4995,[18],7.6,15000000.0,43101594.0,1997-10-07,156.0
314,1997,Robin Williams,Best Supporting Actor,7677,True,Good Will Hunting,489,[18],8.1,10000000.0,225933435.0,1997-12-05,127.0
315,1997,Helena Bonham Carter,Best Actress,7678,False,The Wings of the Dove,45609,"[18, 10749]",6.9,0.0,0.0,1997-09-04,102.0
316,1997,Julie Christie,Best Actress,7679,False,Afterglow,26941,"[18, 10749, 35]",6.8,0.0,2465960.0,1997-12-26,119.0
317,1997,Judi Dench,Best Actress,7680,False,Mrs. Brown,17589,"[18, 36, 10749]",6.8,0.0,0.0,1997-07-18,105.0
318,1997,Helen Hunt,Best Actress,7681,True,As Good as It Gets,2898,"[35, 10749]",7.4,50000000.0,314178011.0,1997-12-19,139.0
319,1997,Kate Winslet,Best Actress,7682,False,Titanic,597,"[18, 10749]",7.9,200000000.0,2187463944.0,1997-11-18,194.0
320,1997,Kim Basinger,Best Supporting Actress,7683,True,L.A. Confidential,2118,"[80, 53]",7.8,35000000.0,126216940.0,1997-09-19,138.0
321,1997,Joan Cusack,Best Supporting Actress,7684,False,In & Out,10806,[35],6.5,35000000.0,0.0,1997-09-10,90.0
322,1997,Minnie Driver,Best Supporting Actress,7685,False,Good Will Hunting,489,[18],8.1,10000000.0,225933435.0,1997-12-05,127.0
323,1997,Julianne Moore,Best Supporting Actress,7686,False,Boogie Nights,4995,[18],7.6,15000000.0,43101594.0,1997-10-07,156.0
324,1997,Gloria Stuart,Best Supporting Actress,7687,False,Titanic,597,"[18, 10749]",7.9,200000000.0,2187463944.0,1997-11-18,194.0
325,1997,Janusz Kaminski,Best Cinematography,7693,False,Amistad,11831,"[18, 36, 9648]",7.0,36000000.0,74000000.0,1997-12-03,155.0
326,1997,Roger Deakins,Best Cinematography,7694,False,Kundun,9746,"[18, 36]",7.0,28000000.0,5684789.0,1997-12-25,134.0
327,1997,Dante Spinotti,Best Cinematography,7695,False,L.A. Confidential,2118,"[80, 53]",7.8,35000000.0,126216940.0,1997-09-19,138.0
328,1997,Russell Carpenter,Best Cinematography,7696,True,Titanic,597,"[18, 10749]",7.9,200000000.0,2187463944.0,1997-11-18,194.0
329,1997,Eduardo Serra,Best Cinematography,7697,False,The Wings of the Dove,45609,"[18, 10749]",6.9,0.0,0.0,1997-09-04,102.0
330,1997,Peter Cattaneo,Best Director,7703,False,The Full Monty,9427,[35],7.0,3500000.0,257850122.0,1997-08-13,91.0
331,1997,Gus Van Sant,Best Director,7704,False,Good Will Hunting,489,[18],8.1,10000000.0,225933435.0,1997-12-05,127.0
332,1997,Curtis Hanson,Best Director,7705,False,L.A. Confidential,2118,"[80, 53]",7.8,35000000.0,126216940.0,1997-09-19,138.0
333,1997,Atom Egoyan,Best Director,7706,False,The Sweet Hereafter,10217,[18],7.0,5000000.0,7951247.0,1997-09-25,112.0
334,1997,James Cameron,Best Director,7707,True,Titanic,597,"[18, 10749]",7.9,200000000.0,2187463944.0,1997-11-18,194.0
335,1997,Richard Francis-Bruce,Best Film Editing,7718,False,Air Force One,9772,"[28, 53]",6.4,85000000.0,315156409.0,1997-07-25,124.0
336,1997,Richard Marks,Best Film Editing,7719,False,As Good as It Gets,2898,"[35, 10749]",7.4,50000000.0,314178011.0,1997-12-19,139.0
337,1997,Pietro Scalia,Best Film Editing,7720,False,Good Will Hunting,489,[18],8.1,10000000.0,225933435.0,1997-12-05,127.0
338,1997,Peter Honess,Best Film Editing,7721,False,L.A. Confidential,2118,"[80, 53]",7.8,35000000.0,126216940.0,1997-09-19,138.0
339,1997,"Conrad Buff, James Cameron, Richard A. Harris",Best Film Editing,7722,True,Titanic,597,"[18, 10749]",7.9,200000000.0,2187463944.0,1997-11-18,194.0
340,1997,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",Best Pictre,7746,False,As Good as It Gets,2898,"[35, 10749]",7.4,50000000.0,314178011.0,1997-12-19,139.0
341,1997,"Uberto Pasolini, Producer",Best Pictre,7747,False,The Full Monty,9427,[35],7.0,3500000.0,257850122.0,1997-08-13,91.0
342,1997,"Lawrence Bender, Producer",Best Pictre,7748,False,Good Will Hunting,489,[18],8.1,10000000.0,225933435.0,1997-12-05,127.0
343,1997,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",Best Pictre,7749,False,L.A. Confidential,2118,"[80, 53]",7.8,35000000.0,126216940.0,1997-09-19,138.0
344,1997,"James Cameron and Jon Landau, Producers",Best Pictre,7750,True,Titanic,597,"[18, 10749]",7.9,200000000.0,2187463944.0,1997-11-18,194.0
345,1998,Roberto Benigni,Best Actor,7783,True,Life Is Beautiful,637,"[35, 18]",8.5,20000000.0,230098753.0,1997-12-20,116.0
346,1998,Tom Hanks,Best Actor,7784,False,Saving Private Ryan,857,"[18, 36, 10752]",8.2,70000000.0,481840909.0,1998-07-24,169.0
347,1998,Ian McKellen,Best Actor,7785,False,Gods and Monsters,3033,[18],7.1,10000000.0,6451628.0,1998-01-21,105.0
348,1998,Nick Nolte,Best Actor,7786,False,Affliction,31662,"[18, 9648, 53]",6.4,6000000.0,6330054.0,1998-02-12,114.0
349,1998,Edward Norton,Best Actor,7787,False,American History X,73,[18],8.4,20000000.0,23875127.0,1998-10-30,119.0
