,tmdb_id,imdb_id,film,year,nomination_count,oscar_cat,oscar_win,casts_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,director,genre_id_0,genre_id_1,starring_0,starring_1,starring_2,starring_3,producer_0,producer_1,screenplay_0
1473,25793,tt0929632,Precious: Based on the Novel 'Push' by Sapphire,2009,6,Best Actress,False,43.22500000000001,9.248,7.3,1165,Lee Daniels,18,,Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Lee Daniels,Sarah Siegel-Magness,Geoffrey Fletcher
1474,24803,tt1135503,Julie & Julia,2009,1,Best Actress,False,111.26899999999985,21.67900000000001,6.7,1565,Nora Ephron,10749,18,Meryl Streep,Amy Adams,Stanley Tucci,Chris Messina,Amy Robinson,Nora Ephron,Nora Ephron
1475,19995,tt0499549,Avatar,2009,9,Best Director,False,94.55699999999996,714.3140000000134,7.5,23160,James Cameron,28,12,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,James Cameron,Jon Landau,
1476,12162,tt0887912,The Hurt Locker,2009,9,Best Director,True,115.15,80.49499999999993,7.3,4129,Kathryn Bigelow,18,53,Jeremy Renner,Anthony Mackie,Brian Geraghty,David Morse,Kathryn Bigelow,Greg Shapiro,Mark Boal
1477,16869,tt0361748,Inglourious Basterds,2009,8,Best Director,False,213.34400000000002,117.76199999999987,8.2,16616,Quentin Tarantino,18,28,Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Lawrence Bender,,
1478,25793,tt0929632,Precious: Based on the Novel 'Push' by Sapphire,2009,6,Best Director,False,43.22500000000001,9.248,7.3,1165,Lee Daniels,18,,Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Lee Daniels,Sarah Siegel-Magness,Geoffrey Fletcher
1479,22947,tt1193138,Up in the Air,2009,6,Best Director,False,90.86799999999998,35.41900000000001,6.8,2676,Jason Reitman,18,10749,George Clooney,Vera Farmiga,Anna Kendrick,Sam Elliott,Ivan Reitman,Jason Reitman,Jason Reitman
1480,19995,tt0499549,Avatar,2009,9,Best Picture,False,94.55699999999996,714.3140000000134,7.5,23160,James Cameron,28,12,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,James Cameron,Jon Landau,
1481,22881,tt0878804,The Blind Side,2009,2,Best Picture,False,104.53899999999987,38.16300000000001,7.6,4345,John Lee Hancock,18,,Sandra Bullock,Tim McGraw,Quinton Aaron,Jae Head,Gil Netter,Broderick Johnson,
1482,17654,tt1136608,District 9,2009,4,Best Picture,False,82.09599999999992,371.9680000000026,7.4,7035,Neill Blomkamp,878,,Sharlto Copley,Jason Cope,Nathalie Boltt,Sylvaine Strike,Peter Jackson,Carolynne Cunningham,
1483,24684,tt1174732,An Education,2009,3,Best Picture,False,85.4699999999999,28.62700000000002,6.9,960,Lone Scherfig,18,10749,Carey Mulligan,Peter Sarsgaard,Dominic Cooper,Rosamund Pike,Amanda Posey,Finola Dwyer,Nick Hornby
1484,12162,tt0887912,The Hurt Locker,2009,9,Best Picture,True,115.15,80.49499999999993,7.3,4129,Kathryn Bigelow,18,53,Jeremy Renner,Anthony Mackie,Brian Geraghty,David Morse,Kathryn Bigelow,Greg Shapiro,Mark Boal
1485,16869,tt0361748,Inglourious Basterds,2009,8,Best Picture,False,213.34400000000002,117.76199999999987,8.2,16616,Quentin Tarantino,18,28,Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Lawrence Bender,,
1486,25793,tt0929632,Precious: Based on the Novel 'Push' by Sapphire,2009,6,Best Picture,False,43.22500000000001,9.248,7.3,1165,Lee Daniels,18,,Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Lee Daniels,Sarah Siegel-Magness,Geoffrey Fletcher
1487,12573,tt1019452,A Serious Man,2009,2,Best Picture,False,54.10500000000001,50.07100000000002,6.8,1431,Ethan Coen,35,18,Michael Stuhlbarg,Richard Kind,Fred Melamed,Sari Lennick,Joel Coen,Ethan Coen,
1488,14160,tt1049413,Up,2009,6,Best Picture,False,81.422,250.52899999999897,7.9,15614,Pete Docter,16,35,Edward Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Jonas Rivera,,Bob Peterson
1489,22947,tt1193138,Up in the Air,2009,6,Best Picture,False,90.86799999999998,35.41900000000001,6.8,2676,Jason Reitman,18,10749,George Clooney,Vera Farmiga,Anna Kendrick,Sam Elliott,Ivan Reitman,Jason Reitman,Jason Reitman
1490,17654,tt1136608,District 9,2009,4,Best Adapted Screenplay,False,82.09599999999992,371.9680000000026,7.4,7035,Neill Blomkamp,878,,Sharlto Copley,Jason Cope,Nathalie Boltt,Sylvaine Strike,Peter Jackson,Carolynne Cunningham,
1491,24684,tt1174732,An Education,2009,3,Best Adapted Screenplay,False,85.4699999999999,28.62700000000002,6.9,960,Lone Scherfig,18,10749,Carey Mulligan,Peter Sarsgaard,Dominic Cooper,Rosamund Pike,Amanda Posey,Finola Dwyer,Nick Hornby
1492,19833,tt1226774,In the Loop,2009,1,Best Adapted Screenplay,False,64.122,19.922000000000004,7.1,422,Armando Iannucci,35,,Peter Capaldi,Tom Hollander,Gina McKee,James Gandolfini,Kevin Loader,Adam Tandy,Jesse Armstrong
1493,25793,tt0929632,Precious: Based on the Novel 'Push' by Sapphire,2009,6,Best Adapted Screenplay,True,43.22500000000001,9.248,7.3,1165,Lee Daniels,18,,Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Lee Daniels,Sarah Siegel-Magness,Geoffrey Fletcher
1494,22947,tt1193138,Up in the Air,2009,6,Best Adapted Screenplay,False,90.86799999999998,35.41900000000001,6.8,2676,Jason Reitman,18,10749,George Clooney,Vera Farmiga,Anna Kendrick,Sam Elliott,Ivan Reitman,Jason Reitman,Jason Reitman
1495,12162,tt0887912,The Hurt Locker,2009,9,Best Original Screenplay,True,115.15,80.49499999999993,7.3,4129,Kathryn Bigelow,18,53,Jeremy Renner,Anthony Mackie,Brian Geraghty,David Morse,Kathryn Bigelow,Greg Shapiro,Mark Boal
1496,16869,tt0361748,Inglourious Basterds,2009,8,Best Original Screenplay,False,213.34400000000002,117.76199999999987,8.2,16616,Quentin Tarantino,18,28,Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Lawrence Bender,,
1497,28089,tt0790712,The Messenger,2009,2,Best Original Screenplay,False,74.15599999999998,40.15300000000003,6.8,281,Oren Moverman,18,,Ben Foster,Woody Harrelson,Jena Malone,Eamonn Walker,Mark Gordon,Benjamin Goldhirsh,
1498,12573,tt1019452,A Serious Man,2009,2,Best Original Screenplay,False,54.10500000000001,50.07100000000002,6.8,1431,Ethan Coen,35,18,Michael Stuhlbarg,Richard Kind,Fred Melamed,Sari Lennick,Joel Coen,Ethan Coen,
1499,14160,tt1049413,Up,2009,6,Best Original Screenplay,False,81.422,250.52899999999897,7.9,15614,Pete Docter,16,35,Edward Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Jonas Rivera,,Bob Peterson
1500,45958,tt1164999,Biutiful,2010,2,Best Actor,False,54.97900000000005,38.139000000000024,7.3,780,Alejandro González Iñárritu,18,,Javier Bardem,Maricel Álvarez,Hanaa Bouchaib,Guillermo Estrella,Alejandro González Iñárritu,Jon Kilik,Alejandro González Iñárritu
1501,44264,tt1403865,True Grit,2010,12,Best Actor,False,84.68399999999995,107.80799999999974,7.3,3938,Ethan Coen,18,12,Jeff Bridges,Matt Damon,Josh Brolin,Hailee Steinfeld,Joel Coen,Ethan Coen,Joel Coen
1502,37799,tt1285016,The Social Network,2010,8,Best Actor,False,163.38399999999982,107.75299999999979,7.3,8780,David Fincher,18,,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Scott Rudin,Michael De Luca,Aaron Sorkin
1503,45269,tt1504320,The King's Speech,2010,12,Best Actor,True,107.62299999999992,88.08399999999985,7.7,6725,Tom Hooper,18,36,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Guy Pearce,Emile Sherman,Iain Canning,David Seidler
1504,44115,tt1542344,127 Hours,2010,6,Best Actor,False,60.03000000000003,104.62699999999974,7.0,5780,Danny Boyle,12,18,James Franco,Kate Mara,Amber Tamblyn,Clémence Poésy,Danny Boyle,Christian Colson,Danny Boyle
1505,39781,tt0842926,The Kids Are All Right,2010,4,Best Actress,False,51.206,13.164000000000001,6.6,1101,Lisa Cholodenko,35,18,Julianne Moore,Annette Bening,Mark Ruffalo,Mia Wasikowska,Gary Gilbert,Celine Rattray,Stuart Blumberg
1506,27585,tt0935075,Rabbit Hole,2010,1,Best Actress,False,82.43899999999995,35.35300000000001,6.7,394,John Cameron Mitchell,18,,Nicole Kidman,Aaron Eckhart,Dianne Wiest,Miles Teller,Nicole Kidman,Gigi Pritzker,David Lindsay-Abaire
1507,39013,tt1399683,Winter's Bone,2010,4,Best Actress,False,41.65400000000001,19.387,6.8,1254,Debra Granik,18,,Jennifer Lawrence,John Hawkes,Kevin Breznahan,Dale Dickey,Anne Rosellini,Alix Madigan,Debra Granik
1508,44214,tt0947798,Black Swan,2010,5,Best Actress,True,134.75899999999982,142.93999999999966,7.6,11078,Darren Aronofsky,18,53,Natalie Portman,Mila Kunis,Vincent Cassel,Barbara Hershey,Joseph P. Reidy,Mike Medavoy,Mark Heyman
1509,46705,tt1120985,Blue Valentine,2010,1,Best Actress,False,37.763000000000034,40.689000000000036,6.9,2340,Derek Cianfrance,18,10749,Ryan Gosling,Michelle Williams,John Doman,Mike Vogel,Lynette Howell Taylor,Alex Orlovsky,Derek Cianfrance
1510,44214,tt0947798,Black Swan,2010,5,Best Director,False,134.75899999999982,142.93999999999966,7.6,11078,Darren Aronofsky,18,53,Natalie Portman,Mila Kunis,Vincent Cassel,Barbara Hershey,Joseph P. Reidy,Mike Medavoy,Mark Heyman
1511,45317,tt0964517,The Fighter,2010,7,Best Director,False,121.30599999999984,84.66199999999992,7.4,3196,David O. Russell,18,,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,Mark Wahlberg,David Hoberman,Scott Silver
1512,45269,tt1504320,The King's Speech,2010,12,Best Director,True,107.62299999999992,88.08399999999985,7.7,6725,Tom Hooper,18,36,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Guy Pearce,Emile Sherman,Iain Canning,David Seidler
1513,37799,tt1285016,The Social Network,2010,8,Best Director,False,163.38399999999982,107.75299999999979,7.3,8780,David Fincher,18,,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Scott Rudin,Michael De Luca,Aaron Sorkin
1514,44264,tt1403865,True Grit,2010,12,Best Director,False,84.68399999999995,107.80799999999974,7.3,3938,Ethan Coen,18,12,Jeff Bridges,Matt Damon,Josh Brolin,Hailee Steinfeld,Joel Coen,Ethan Coen,Joel Coen
1515,44214,tt0947798,Black Swan,2010,5,Best Picture,False,134.75899999999982,142.93999999999966,7.6,11078,Darren Aronofsky,18,53,Natalie Portman,Mila Kunis,Vincent Cassel,Barbara Hershey,Joseph P. Reidy,Mike Medavoy,Mark Heyman
1516,45317,tt0964517,The Fighter,2010,7,Best Picture,False,121.30599999999984,84.66199999999992,7.4,3196,David O. Russell,18,,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,Mark Wahlberg,David Hoberman,Scott Silver
1517,27205,tt1375666,Inception,2010,8,Best Picture,False,181.252,535.7730000000067,8.3,28781,Christopher Nolan,28,878,Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Marion Cotillard,Christopher Nolan,Emma Thomas,
1518,39781,tt0842926,The Kids Are All Right,2010,4,Best Picture,False,51.206,13.164000000000001,6.6,1101,Lisa Cholodenko,35,18,Julianne Moore,Annette Bening,Mark Ruffalo,Mia Wasikowska,Gary Gilbert,Celine Rattray,Stuart Blumberg
1519,45269,tt1504320,The King's Speech,2010,12,Best Picture,True,107.62299999999992,88.08399999999985,7.7,6725,Tom Hooper,18,36,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Guy Pearce,Emile Sherman,Iain Canning,David Seidler
1520,44115,tt1542344,127 Hours,2010,6,Best Picture,False,60.03000000000003,104.62699999999974,7.0,5780,Danny Boyle,12,18,James Franco,Kate Mara,Amber Tamblyn,Clémence Poésy,Danny Boyle,Christian Colson,Danny Boyle
