,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations
1736,342737,tt4385888,2016,2017,20th Century Women,Best Original Screenplay,Written by Mike Mills,False,0.0,1,[18],"['Annette Bening', 'Elle Fanning', 'Greta Gerwig', 'Lucas Jade Zumann']",94.49499999999985,Mike Mills,"['Anne Carey', 'Megan Ellison', 'Youree Henley']",['Mike Mills'],39.98000000000003,7000000,5664764,119,74,853,73,40838,88,83,12,72
1737,398818,tt5726616,2017,2018,Call Me by Your Name,Best Actor,Timothée Chalamet,False,1.0,4,"[10749, 18]","['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar']",33.955000000000005,Luca Guadagnino,"['James Ivory', 'Howard Rosenman', 'Luca Guadagnino', 'Peter Spears', 'Marco Morabito', 'Emilie Georges', 'Rodrigo Teixeira']",['James Ivory'],88.05399999999986,4000000,41063475,132,83,8926,79,217978,94,93,94,258
1738,400617,tt5776858,2017,2018,Phantom Thread,Best Actor,Daniel Day-Lewis,False,1.0,6,"[18, 10749]","['Daniel Day-Lewis', 'Vicky Krieps', 'Lesley Manville', 'Camilla Rutherford']",59.33700000000005,Paul Thomas Anderson,"['Paul Thomas Anderson', 'Daniel Lupi', 'JoAnne Sellar', 'Megan Ellison']",[],92.1099999999998,35000000,47756590,130,73,2499,75,114103,91,90,54,121
1739,419430,tt5052448,2017,2018,Get Out,Best Actor,Daniel Kaluuya,False,1.0,4,"[9648, 53, 27]","['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford']",78.47699999999999,Jordan Peele,"['Sean McKittrick', 'Jason Blum', 'Jordan Peele', 'Edward H. Hamm Jr. \t']",[],74.54999999999997,4500000,255407969,104,76,12638,77,499228,98,85,147,202
1740,399404,tt4555426,2017,2018,Darkest Hour,Best Actor,Gary Oldman,True,2.0,6,"[18, 36]","['Gary Oldman', 'Kristin Scott Thomas', 'Lily James', 'Stephen Dillane']",88.71099999999993,Joe Wright,"['Tim Bevan', 'Eric Fellner', 'Douglas Urbanski', 'Lisa Bruce', 'Anthony McCarten']",['Anthony McCarten'],77.20599999999992,30000000,150847207,125,74,3892,74,174282,84,75,51,77
1741,413362,tt6000478,2017,2018,"Roman J. Israel, Esq.",Best Actor,Denzel Washington,False,0.0,1,"[18, 80, 53]","['Denzel Washington', 'Colin Farrell', 'Carmen Ejogo', 'Lynda Gravatt']",121.27199999999998,Dan Gilroy,"['Jennifer Fox', 'Denzel Washington', 'Todd Black']",[],55.773000000000025,22000000,11942780,122,63,870,65,34313,54,58,2,9
1742,399055,tt5580390,2017,2018,The Shape of Water,Best Actress,Sally Hawkins,False,4.0,13,"[18, 14, 10749]","['Sally Hawkins', 'Doug Jones', 'Michael Shannon', 'Richard Jenkins']",86.72099999999993,Guillermo del Toro,"['Guillermo del Toro', 'J. Miles Dale']","['Guillermo del Toro', 'Vanessa Taylor']",90.28699999999986,19500000,194989655,123,73,9678,73,375755,92,87,132,350
1743,359940,tt5027774,2017,2018,"Three Billboards outside Ebbing, Missouri",Best Actress,Frances McDormand,True,2.0,7,"[80, 18]","['Frances McDormand', 'Sam Rockwell', 'Woody Harrelson', 'Abbie Cornish']",98.96799999999999,Martin McDonagh,"['Graham Broadbent', 'Martin McDonagh', 'Peter Czernin']",[],136.80499999999947,15000000,160192031,115,81,7653,81,440890,90,88,128,228
1744,389015,tt5580036,2017,2018,"I, Tonya",Best Actress,Margot Robbie,False,1.0,3,[18],"['Margot Robbie', 'Sebastian Stan', 'Julianne Nicholson', 'Paul Walter Hauser']",124.02699999999992,Craig Gillespie,"['Steven Rogers', 'Margot Robbie', 'Tom Ackerley', 'Bryan Unkeless']",[],83.38699999999989,11000000,53939297,120,75,4296,75,184956,90,77,44,123
1745,391713,tt4925292,2017,2018,Lady Bird,Best Actress,Saoirse Ronan,False,0.0,5,"[18, 35]","['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']",106.39599999999994,Greta Gerwig,"['Scott Rudin', 'Eli Bush', ""Evelyn O'Neill""]",[],80.64599999999997,10000000,76858273,94,73,6185,74,245872,99,94,117,220
